 TIME                    	Front                    	Back                     	Left                     	Right                    	Bottom  
222	-4.078997	-4.079107	-4.173675	-4.173559	5.919819
223	-4.081019	-4.081128	-4.175723	-4.175607	5.918846
224	-4.083049	-4.083159	-4.177780	-4.177664	5.917859
225	-4.085087	-4.085197	-4.179844	-4.179728	5.916860
226	-4.087128	-4.087237	-4.181910	-4.181795	5.915869
227	-4.089070	-4.089179	-4.183879	-4.183763	5.915058
228	-4.090830	-4.090940	-4.185665	-4.185549	5.914455
229	-4.092463	-4.092572	-4.187323	-4.187207	5.913969
230	-4.094043	-4.094153	-4.188928	-4.188813	5.913543
231	-4.095592	-4.095701	-4.190502	-4.190387	5.913188
232	-4.097153	-4.097263	-4.192089	-4.191973	5.912803
233	-4.098834	-4.098943	-4.193795	-4.193680	5.912250
234	-4.100700	-4.100809	-4.195687	-4.195571	5.911481
235	-4.102711	-4.102820	-4.197725	-4.197609	5.910561
236	-4.104788	-4.104898	-4.199829	-4.199713	5.909558
237	-4.106885	-4.106994	-4.201952	-4.201837	5.908506
238	-4.108981	-4.109090	-4.204075	-4.203959	5.907426
239	-4.111068	-4.111177	-4.206189	-4.206073	5.906332
240	-4.113146	-4.113255	-4.208293	-4.208177	5.905228
241	-4.115222	-4.115331	-4.210396	-4.210280	5.904114
242	-4.117300	-4.117410	-4.212500	-4.212385	5.902990
243	-4.119378	-4.119488	-4.214605	-4.214489	5.901862
244	-4.121451	-4.121561	-4.216704	-4.216589	5.900736
245	-4.123516	-4.123626	-4.218796	-4.218680	5.899615
246	-4.125571	-4.125680	-4.220877	-4.220761	5.898502
247	-4.127614	-4.127723	-4.222946	-4.222830	5.897400
248	-4.129644	-4.129753	-4.225002	-4.224886	5.896310
249	-4.131659	-4.131768	-4.227043	-4.226927	5.895235
250	-4.133658	-4.133768	-4.229068	-4.228953	5.894180
251	-4.135600	-4.135709	-4.231036	-4.230920	5.893214
252	-4.137445	-4.137555	-4.232907	-4.232792	5.892347
253	-4.139234	-4.139343	-4.234721	-4.234606	5.891517
254	-4.141017	-4.141126	-4.236530	-4.236414	5.890690
255	-4.142828	-4.142937	-4.238367	-4.238251	5.889839
256	-4.144675	-4.144784	-4.240240	-4.240124	5.888965
257	-4.146543	-4.146652	-4.242134	-4.242018	5.888078
258	-4.148431	-4.148540	-4.244048	-4.243932	5.887166
259	-4.150334	-4.150443	-4.245977	-4.245861	5.886239
260	-4.152233	-4.152342	-4.247902	-4.247786	5.885315
261	-4.154119	-4.154228	-4.249814	-4.249698	5.884398
262	-4.155990	-4.156099	-4.251711	-4.251596	5.883490
263	-4.157847	-4.157956	-4.253594	-4.253479	5.882593
264	-4.159695	-4.159804	-4.255468	-4.255352	5.881701
265	-4.161540	-4.161650	-4.257340	-4.257224	5.880808
266	-4.163389	-4.163498	-4.259214	-4.259098	5.879912
267	-4.165238	-4.165347	-4.261089	-4.260974	5.879015
268	-4.167086	-4.167195	-4.262963	-4.262848	5.878117
269	-4.168932	-4.169041	-4.264836	-4.264720	5.877218
270	-4.170776	-4.170886	-4.266706	-4.266591	5.876319
271	-4.172618	-4.172727	-4.268574	-4.268458	5.875419
272	-4.174456	-4.174565	-4.270438	-4.270322	5.874520
273	-4.176288	-4.176397	-4.272295	-4.272180	5.873624
